Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
METR-LA,Static-Mamdani-FL,Sybil_Poisoning,43,True,3.981820821762085,0.0,5.325832843780518,0.0,9.477062225341797,0.0,0.71665,0.0,0.6155452223854375,0.0,0.6439249609216191,0.0,0.9721288070403586,0.0,1.0,0.0,0.21927811015922907,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Sybil_Poisoning,44,True,3.6437714099884033,0.0,5.097122669219971,0.0,8.90835952758789,0.0,0.7593,0.0,0.6362497094655108,0.0,0.6515804931133357,0.0,0.972478376349023,0.0,1.0,0.0,0.2077461706779496,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Sybil_Poisoning,45,True,4.087757110595703,0.0,5.381042957305908,0.0,9.098712921142578,0.0,0.70565,0.0,0.6348251338395067,0.0,0.6649580555199821,0.0,0.9708769249441366,0.0,1.0,0.0,0.2157747461295762,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Sybil_Poisoning,46,True,4.042104244232178,0.0,5.329747676849365,0.0,9.357568740844727,0.0,0.71825,0.0,0.6233784116535661,0.0,0.6509664669151545,0.0,0.972092371352363,0.0,1.0,0.0,0.21221758748206287,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Sybil_Poisoning,47,True,4.3905029296875,0.0,5.640864849090576,0.0,9.882725715637207,0.0,0.67395,0.0,0.6118876063446846,0.0,0.6474923264748428,0.0,0.9700098179597622,0.0,1.0,0.0,0.22123852178886494,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,42,True,1.0643094778060913,0.0,1.735526204109192,0.0,2.120368480682373,0.0,0.94575,0.0,0.8233609653170809,0.0,0.8026447599105623,0.0,0.9956287592408544,0.0,1.0,0.0,0.1412585024815759,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,43,True,1.510828971862793,0.0,2.076674461364746,0.0,2.7160873413085938,0.0,0.94345,0.0,0.8276552034686093,0.0,0.8013457608519914,0.0,0.9956569396433462,0.0,1.0,0.0,0.16034857211660078,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,44,True,1.1354243755340576,0.0,1.7534881830215454,0.0,2.096912384033203,0.0,0.9451,0.0,0.8420589902988176,0.0,0.8402754606992732,0.0,0.995536798160831,0.0,1.0,0.0,0.15076421252740935,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,45,True,1.1772807836532593,0.0,1.7897990942001343,0.0,2.1626696586608887,0.0,0.9419,0.0,0.8456508893783969,0.0,0.8607606165871188,0.0,0.9957122529859994,0.0,1.0,0.0,0.1409047755606352,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,46,True,2.269456148147583,0.0,2.737734317779541,0.0,3.9316086769104004,0.0,0.9324,0.0,0.808951098426486,0.0,0.771133161370906,0.0,0.9951527125104429,0.0,1.0,0.0,0.15656638868113285,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Byzantine_Noise,47,True,1.0173778533935547,0.0,1.7200727462768555,0.0,2.0380561351776123,0.0,0.9449,0.0,0.8240935727709271,0.0,0.7994695976557804,0.0,0.9956191035045435,0.0,1.0,0.0,0.13663195896409455,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,42,True,1.7449697256088257,0.0,2.358008623123169,0.0,3.5786385536193848,0.0,0.9361,0.0,0.7390585428563404,0.0,0.7151718426067477,0.0,0.9955951783796628,0.0,1.0,0.0,0.19270015577649124,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,43,True,1.6844415664672852,0.0,2.4058845043182373,0.0,3.6542811393737793,0.0,0.93175,0.0,0.7031807588624133,0.0,0.6728813837118424,0.0,0.9956725033487605,0.0,1.0,0.0,0.19654270847343386,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,44,True,1.8292648792266846,0.0,2.7339649200439453,0.0,4.191926002502441,0.0,0.91825,0.0,0.6116945580387017,0.0,0.5884981192136726,0.0,0.9954014396562841,0.0,1.0,0.0,0.19300149599099517,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,45,True,1.8230518102645874,0.0,2.768831253051758,0.0,4.206671714782715,0.0,0.9146,0.0,0.6004070929747715,0.0,0.5722079137838675,0.0,0.99558762507782,0.0,1.0,0.0,0.1964262295777932,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,46,True,1.7997156381607056,0.0,2.4415106773376465,0.0,3.7459683418273926,0.0,0.9339,0.0,0.7235388430325855,0.0,0.7025215403428515,0.0,0.9955709979762186,0.0,1.0,0.0,0.2148747049221454,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Label_Flipping,47,True,1.7055327892303467,0.0,2.48132586479187,0.0,3.7617762088775635,0.0,0.92705,0.0,0.675285400156816,0.0,0.6453042941974261,0.0,0.9958607960035379,0.0,1.0,0.0,0.19285766913483238,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,No_Attack,42,True,0.91404128074646,0.0,1.6296221017837524,0.0,1.758164405822754,0.0,0.95185,0.0,0.8532357657679561,0.0,0.8476947831422867,0.0,0.995835263769023,0.0,,,0.0,0.0,,,,,0.0,False
