Dataset,Attack,Algorithm,n_seeds,test_mae_mean,test_mae_std,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mape_mean,test_mape_std,test_mape_n,test_accuracy_mean,test_accuracy_std,test_accuracy_n,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_n,test_macro_recall_mean,test_macro_recall_std,test_macro_recall_n,test_macro_precision_mean,test_macro_precision_std,test_macro_precision_n,test_auc_mean,test_auc_std,test_auc_n,sec_trust_auc_mean,sec_trust_auc_std,sec_trust_auc_n,sec_malicious_weight_mass_mean,sec_malicious_weight_mass_std,sec_malicious_weight_mass_n,sec_tdr_mean,sec_tdr_std,sec_tdr_n,sec_fpr_mean,sec_fpr_std,sec_fpr_n,sec_mean_trust_benign_mean,sec_mean_trust_benign_std,sec_mean_trust_benign_n,sec_mean_trust_malicious_mean,sec_mean_trust_malicious_std,sec_mean_trust_malicious_n,sec_trust_margin_mean,sec_trust_margin_std,sec_trust_margin_n
METR-LA,Byzantine_Noise,FLTrust,6,2.57791268825531,0.08937536984724391,6,4.539969126383464,0.15927594181958088,6,6.363534291585286,0.32860671231805705,6,0.8294083333333333,0.0047609260303712415,6,0.690863052242768,0.005230347475432597,6,0.6789866124907747,0.0057561971320168465,6,0.7060206596942717,0.005832944385737688,6,0.9732154017476194,0.001374862698646052,6,0.5873015873015873,0.14728585028142277,6,0.16175283144235322,0.10301767124487426,6,1.0,0.0,6,1.0,0.0,6,0.014526983511002201,0.007766274831342346,6,0.006302045609724398,0.0033656414297394874,6,0.008224937901277806,0.007485660706153606,6
METR-LA,Byzantine_Noise,FedAvg,6,4.278842449188232,1.25695668578152,6,5.911757310231526,1.1737933181203737,6,9.841136614481607,2.429560843267073,6,0.7615333333333334,0.03013754579700655,6,0.5899867265494845,0.06990884398540285,6,0.5808906410286188,0.08979367916860022,6,0.6417110337480553,0.023924938595959476,6,0.967271464005416,0.005459541689480246,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
METR-LA,Byzantine_Noise,FedProx,6,2.5217708746592202,0.023903940496001478,6,4.442069053649902,0.02812883855366336,6,6.452260335286458,0.15218830946991807,6,0.8302333333333333,0.0012476644848141835,6,0.6919333754617886,0.006187322361522269,6,0.6751217264622178,0.011181781505886867,6,0.7136592290170235,0.002211401605695672,6,0.975052711326516,0.00039497462189331525,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
METR-LA,Byzantine_Noise,Multi-Krum,6,2.4491443236668906,0.008436437859771863,6,4.39662766456604,0.03323565430912116,6,6.0187718868255615,0.07791611963753102,6,0.8339833333333334,0.0009626352718795822,6,0.6998231518121033,0.0037206718296656934,6,0.6865272446249845,0.004887197667883616,6,0.7149712821800204,0.003089277733907253,6,0.974573277278159,0.0005602350331047085,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.14285714285714282,3.0404709722440586e-17,6,0.6666666666666666,8.599750569898517e-17,6,0.11111111111111112,0.0,6,0.5555555555555555,8.599750569898517e-17,6
METR-LA,Byzantine_Noise,SCAFFOLD,6,2.529510736465454,0.003967568477385462,6,4.423353830973308,0.00961111605209783,6,6.163955370585124,0.025096111419633894,6,0.8274416666666666,0.00031211643126667524,6,0.6963976810196105,0.0014320083372117468,6,0.6877776503957995,0.002572218761154882,6,0.7066871560987266,0.001235198413824941,6,0.9754770945818053,5.939458932010804e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
METR-LA,Byzantine_Noise,Static-Mamdani-FL,6,2.8874553044637046,0.25905820295565973,6,4.699294090270996,0.2409936375674196,6,7.015521844228108,0.5494797026842762,6,0.8189416666666666,0.007934192880606464,6,0.6702359547452561,0.022485685322903994,6,0.6523147689656338,0.03623563882070558,6,0.7004913483894925,0.007428177823233933,6,0.9731676294505868,0.0011100235934824768,6,1.0,0.0,6,0.1541972141873123,0.008173880809819017,6,0.611111111111111,0.2509242175696937,6,0.0,0.0,6,0.7862107537485472,0.029733756814229066,6,0.3344369648738979,0.021075069327986463,6,0.4517737888746493,0.030235929256292166,6
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,6,2.4505631923675537,0.0028536547274195887,6,4.394613027572632,0.02508741784548695,6,6.077911535898845,0.04271813807659538,6,0.8342416666666668,0.0013872334578817686,6,0.6993080335481396,0.0024534862544475294,6,0.6835576073112636,0.0035415693853679425,6,0.7178592748859512,0.0037449443158240523,6,0.9745950110426875,0.0004960567206388657,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.6900271841218011,0.003043842486754746,6,0.20732612672159637,0.009190504095700493,6,0.4827010574002048,0.010544027913889342,6
METR-LA,Label_Flipping,FLTrust,6,3.9238445361455283,1.832913930840729,6,6.009058554967244,2.321360897154289,6,10.754040320714315,5.76768551368259,6,0.7417416666666666,0.1378714960267954,6,0.5387237989331072,0.1763834456919148,6,0.5466840533358813,0.15296628284794586,6,0.608614253971207,0.16529992660202114,6,0.9534714900574314,0.045393319128981584,6,0.6071428571428571,0.33358833783320724,6,0.20919793648491414,0.2179866933063767,6,1.0,0.0,6,1.0,0.0,6,0.039061673441513754,0.04212655828653563,6,0.01816543978121546,0.02318336042380271,6,0.0208962336602983,0.05538867869089582,6
METR-LA,Label_Flipping,FedAvg,6,4.47654914855957,0.29967090010483377,6,6.534058570861816,0.718444119978526,6,12.229874928792318,1.3739983594812792,6,0.70955,0.02002755601664868,6,0.47871686270449554,0.07104844520131746,6,0.48797144100309037,0.06490199756001032,6,0.6131031707001072,0.03841640214500287,6,0.944739615999514,0.02768200121168445,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
METR-LA,Label_Flipping,FedProx,6,5.115316708882649,0.19821513742288005,6,7.373549699783325,0.283985969239201,6,14.93330971399943,0.5937114231581795,6,0.6634916666666667,0.018804824292363548,6,0.33274714295913893,0.01697410324742871,6,0.37286802251180196,0.01605018960949804,6,0.32497618589961424,0.016262273479547316,6,0.9619498007465271,0.0033271924927347155,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
