Dataset,Attack,Algorithm,seed,true_class,pred_0,pred_1,pred_2,pred_3,pred_4
PEMS04,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,4,1,1,2,252,16553
PEMS04,Label_Flipping,FedAvg,42,0,13,263,8,1,0
PEMS04,Label_Flipping,FedAvg,42,1,0,124,297,28,3
PEMS04,Label_Flipping,FedAvg,42,2,0,4,103,341,11
PEMS04,Label_Flipping,FedAvg,42,3,0,0,9,1155,831
PEMS04,Label_Flipping,FedAvg,42,4,0,1,1,110,16697
PEMS04,Label_Flipping,FedProx,42,0,0,113,171,1,0
PEMS04,Label_Flipping,FedProx,42,1,0,2,332,114,4
PEMS04,Label_Flipping,FedProx,42,2,0,0,29,410,20
PEMS04,Label_Flipping,FedProx,42,3,0,0,4,748,1243
PEMS04,Label_Flipping,FedProx,42,4,0,0,1,20,16788
PEMS04,Label_Flipping,SCAFFOLD,42,0,247,37,1,0,0
PEMS04,Label_Flipping,SCAFFOLD,42,1,40,348,53,7,4
PEMS04,Label_Flipping,SCAFFOLD,42,2,2,57,267,117,16
PEMS04,Label_Flipping,SCAFFOLD,42,3,0,6,54,1334,601
PEMS04,Label_Flipping,SCAFFOLD,42,4,1,0,2,136,16670
PEMS04,Label_Flipping,FLTrust,42,0,236,48,1,0,0
PEMS04,Label_Flipping,FLTrust,42,1,14,376,56,4,2
PEMS04,Label_Flipping,FLTrust,42,2,1,47,298,104,9
PEMS04,Label_Flipping,FLTrust,42,3,1,8,64,1485,437
PEMS04,Label_Flipping,FLTrust,42,4,1,1,2,267,16538
PEMS04,Label_Flipping,Multi-Krum,42,0,240,44,1,0,0
PEMS04,Label_Flipping,Multi-Krum,42,1,28,369,49,4,2
PEMS04,Label_Flipping,Multi-Krum,42,2,0,57,297,96,9
PEMS04,Label_Flipping,Multi-Krum,42,3,0,7,62,1509,417
PEMS04,Label_Flipping,Multi-Krum,42,4,1,1,2,279,16526
PEMS04,Label_Flipping,Static-Mamdani-FL,42,0,99,183,3,0,0
PEMS04,Label_Flipping,Static-Mamdani-FL,42,1,1,276,162,10,3
PEMS04,Label_Flipping,Static-Mamdani-FL,42,2,0,14,226,208,11
PEMS04,Label_Flipping,Static-Mamdani-FL,42,3,0,2,22,1353,618
PEMS04,Label_Flipping,Static-Mamdani-FL,42,4,0,1,3,144,16661
PEMS04,Label_Flipping,ZeroTrust-ANFIS-FL,42,0,245,39,1,0,0
PEMS04,Label_Flipping,ZeroTrust-ANFIS-FL,42,1,35,365,44,5,3
PEMS04,Label_Flipping,ZeroTrust-ANFIS-FL,42,2,1,55,304,90,9
PEMS04,Label_Flipping,ZeroTrust-ANFIS-FL,42,3,0,8,65,1507,415
PEMS04,Label_Flipping,ZeroTrust-ANFIS-FL,42,4,1,1,2,283,16522
PEMS04,Sybil_Poisoning,FedAvg,42,0,67,217,1,0,0
PEMS04,Sybil_Poisoning,FedAvg,42,1,0,303,142,5,2
PEMS04,Sybil_Poisoning,FedAvg,42,2,0,21,312,120,6
PEMS04,Sybil_Poisoning,FedAvg,42,3,0,3,65,1816,111
PEMS04,Sybil_Poisoning,FedAvg,42,4,0,1,2,1599,15207
PEMS04,Sybil_Poisoning,FedProx,42,0,42,242,1,0,0
PEMS04,Sybil_Poisoning,FedProx,42,1,0,272,170,8,2
PEMS04,Sybil_Poisoning,FedProx,42,2,0,16,273,163,7
PEMS04,Sybil_Poisoning,FedProx,42,3,0,2,35,1839,119
PEMS04,Sybil_Poisoning,FedProx,42,4,0,1,1,1639,15168
PEMS04,Sybil_Poisoning,SCAFFOLD,42,0,209,75,1,0,0
PEMS04,Sybil_Poisoning,SCAFFOLD,42,1,11,377,54,7,3
PEMS04,Sybil_Poisoning,SCAFFOLD,42,2,1,60,280,108,10
PEMS04,Sybil_Poisoning,SCAFFOLD,42,3,0,6,74,1487,428
PEMS04,Sybil_Poisoning,SCAFFOLD,42,4,0,2,1,304,16502
PEMS04,Sybil_Poisoning,FLTrust,42,0,219,65,1,0,0
PEMS04,Sybil_Poisoning,FLTrust,42,1,8,380,57,5,2
PEMS04,Sybil_Poisoning,FLTrust,42,2,0,47,302,101,9
PEMS04,Sybil_Poisoning,FLTrust,42,3,0,9,64,1560,362
PEMS04,Sybil_Poisoning,FLTrust,42,4,1,1,2,358,16447
PEMS04,Sybil_Poisoning,Multi-Krum,42,0,240,44,1,0,0
PEMS04,Sybil_Poisoning,Multi-Krum,42,1,28,369,49,4,2
PEMS04,Sybil_Poisoning,Multi-Krum,42,2,0,57,297,96,9
PEMS04,Sybil_Poisoning,Multi-Krum,42,3,0,7,62,1509,417
PEMS04,Sybil_Poisoning,Multi-Krum,42,4,1,1,2,279,16526
PEMS04,Sybil_Poisoning,Static-Mamdani-FL,42,0,151,133,1,0,0
PEMS04,Sybil_Poisoning,Static-Mamdani-FL,42,1,2,357,85,5,3
PEMS04,Sybil_Poisoning,Static-Mamdani-FL,42,2,0,33,311,105,10
PEMS04,Sybil_Poisoning,Static-Mamdani-FL,42,3,0,4,60,1718,213
PEMS04,Sybil_Poisoning,Static-Mamdani-FL,42,4,0,2,1,851,15955
PEMS04,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,0,249,35,1,0,0
PEMS04,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,1,42,361,43,3,3
PEMS04,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,2,1,57,296,96,9
PEMS04,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,3,1,7,70,1493,424
PEMS04,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,4,1,1,3,283,16521
