dataset,algorithm,attack,seed,rounds,n_clients,n_params,malicious_frac,zt_tau,test_mae,test_rmse,test_mape,test_accuracy,test_macro_f1,test_macro_recall,test_macro_precision,test_weighted_f1,test_auc,val_mae,val_rmse,val_mape,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,val_weighted_f1,val_auc,sec_trust_auc,sec_malicious_weight_mass,sec_tdr,sec_fpr,sec_mean_trust_benign,sec_mean_trust_malicious,sec_trust_margin,sec_tau_used,n_malicious,wall_time_s
METR-LA,FedProx,No_Attack,47,40,10,7825,0.3,0.35,2.4764907360076904,4.381633758544922,6.249321937561035,0.8315,0.697393892840351,0.6828620662433702,0.7148792670439286,0.8290813850140033,0.9750953744664439,2.3630571365356445,4.135335922241211,5.929652690887451,0.84575,0.7025399713378389,0.6881185843591057,0.721000373915294,0.84387397225444,0.9780118772216742,,0.0,,,0.5,,,0.35,3,396.8022813796997
METR-LA,SCAFFOLD,No_Attack,42,40,10,7825,0.3,0.35,2.5208237171173096,4.414484977722168,6.155178546905518,0.8281,0.6970826872302303,0.6875579983013005,0.708197183447288,0.8261620943667721,0.9755451455570218,2.4046616554260254,4.176855564117432,5.814239025115967,0.8406,0.7022607469971168,0.6925557942592105,0.7144708848892359,0.8393877023322358,0.9782372917253725,,0.0,,,0.5,,,0.35,3,253.69189977645874
METR-LA,SCAFFOLD,No_Attack,43,40,10,7825,0.3,0.35,2.5208828449249268,4.412948131561279,6.11723518371582,0.8276,0.6975297691470624,0.6902129083821851,0.7058431353863608,0.8263093094597299,0.9756000976047265,2.4035356044769287,4.170389652252197,5.7724456787109375,0.8408,0.7027192008058873,0.6944458547172898,0.7129379442375392,0.8399812057807489,0.9783085246102216,,0.0,,,0.5,,,0.35,3,252.2875199317932
METR-LA,SCAFFOLD,No_Attack,44,40,10,7825,0.3,0.35,2.514498710632324,4.391161918640137,6.141643524169922,0.8287,0.6997903841327413,0.6912565640446561,0.7097507586532477,0.8275089858855005,0.9756576369843217,2.399717092514038,4.1505231857299805,5.802735805511475,0.8413,0.7030720828017791,0.6941496762235368,0.7143498984041362,0.8406773383121215,0.9783838024844115,,0.0,,,0.5,,,0.35,3,252.47813487052917
METR-LA,SCAFFOLD,No_Attack,45,40,10,7825,0.3,0.35,2.527737855911255,4.436326026916504,6.164626121520996,0.8282,0.6947018635939126,0.6836218824170542,0.7076572657107499,0.8250088835545328,0.9754854215240112,2.4070067405700684,4.193106174468994,5.8138957023620605,0.84135,0.7012850202583993,0.6889310731473962,0.7165170194153366,0.8388907186705606,0.9781409403718584,,0.0,,,0.5,,,0.35,3,251.61919569969177
METR-LA,SCAFFOLD,No_Attack,46,40,10,7825,0.3,0.35,2.5234780311584473,4.4011945724487305,6.127649307250977,0.82785,0.6983632866670211,0.6916892430043837,0.7059989681555583,0.8270570672585225,0.975662087588249,2.408050298690796,4.16024923324585,5.786535739898682,0.8411,0.7038003571758269,0.6960394323054474,0.7136130090063967,0.8407467275012411,0.9783729039770513,,0.0,,,0.5,,,0.35,3,253.7474114894867
METR-LA,SCAFFOLD,No_Attack,47,40,10,7825,0.3,0.35,2.51891827583313,4.41763973236084,6.108160495758057,0.8278,0.6971414457042875,0.6897585777640936,0.7055226402799117,0.8263104292292428,0.9755379186338777,2.4008028507232666,4.174825668334961,5.759401798248291,0.8403,0.7010977911065603,0.6929065879734078,0.7110624698946209,0.8394002924111829,0.9782200549616681,,0.0,,,0.5,,,0.35,3,253.38010144233704
METR-LA,FLTrust,No_Attack,42,40,10,7825,0.3,0.35,2.510768413543701,4.4100518226623535,6.464972496032715,0.831,0.6916995654133882,0.6789698715231954,0.710847570334143,0.8297265661572634,0.9747349471408695,2.4206666946411133,4.236928462982178,6.30858850479126,0.84275,0.6953567726611876,0.6855143483815709,0.7154159366277073,0.8423506170816201,0.9771913132706957,,0.0,,,0.011689730081707239,,,0.35,3,272.59809851646423
METR-LA,FLTrust,No_Attack,43,40,10,7825,0.3,0.35,2.553251266479492,4.488564491271973,6.335792064666748,0.82825,0.6871834750021597,0.676137391092636,0.7006822594011963,0.8257185920897918,0.974001874626883,2.4312901496887207,4.274355411529541,6.091400146484375,0.84395,0.6964200522920876,0.6850850123771082,0.7115441748414326,0.841536894948655,0.9766269399338423,,0.0,,,0.007998265512287616,,,0.35,3,272.31505012512207
METR-LA,FLTrust,No_Attack,44,40,10,7825,0.3,0.35,2.5901761054992676,4.525698184967041,6.409778594970703,0.8257,0.6865821386056038,0.6765871650467502,0.6983623964179856,0.8240773841454467,0.9730448818753504,2.495978593826294,4.334845542907715,6.226282119750977,0.83845,0.6899689062885136,0.6811226679130441,0.7014553086768788,0.8376619470696643,0.9756825363459504,,0.0,,,0.005208787089213729,,,0.35,3,271.58620977401733
